CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12540,Bakersfield, California,NO2,Annual Mean,3,18,18,17,17,16,15,16,14,13,12,11,11,12,11,10,9,9,9,10,9,8,8
12540,Bakersfield, California,NO2,98th Percentile,3,61,69,64,62,56,55,60,56,53,46,47,44,46,46,44,40,38,41,39,40,35,36
12540,Bakersfield, California,O3,4th Max,6,0.098,0.099,0.102,0.099,0.089,0.093,0.098,0.086,0.097,0.087,0.089,0.088,0.085,0.08,0.083,0.084,0.082,0.083,0.091,0.078,0.09,0.083
12540,Bakersfield, California,PM10,2nd Max,1,133,186,94,110,79,94,147,106,122,90,81,69,88,110,103.5,97,81,106,116,94,131,131
12540,Bakersfield, California,PM2.5,Weighted Annual Mean,3,16.3,16,18,13.8,14.1,14.5,14.5,16.7,17.4,15.6,12.1,12.3,11.4,17.1,15.3,13,12.7,13.2,14.7,10.5,15.5,14.4
12540,Bakersfield, California,PM2.5,98th Percentile,3,61,66,56,37,41,48,46,55,52,48,40,42,40,67,61,42,39,53,52,35,58,42
13860,Bishop, California,PM10,2nd Max,5,1750.6,2687.8,1606.4,2127.8,1428,1020.2,1342,176.2,336.4,272.4,504.2,454.8,366.4,273.1,255.9,221.4,220.6,449.2,176.4,148.8,300.6,160.6
13860,Bishop, California,PM2.5,Weighted Annual Mean,1,5.5,5.5,8.2,4.9,5.2,4.6,6.1,5.8,7.1,6.8,7,8.1,6.6,8,7.9,7,6.6,8,7,5.2,10.4,9.7
13860,Bishop, California,PM2.5,98th Percentile,1,23,23,62,15,22,13,22,35,44,36,28,44,28,39,29,24,25,37,25,16,67,58
17020,Chico,California,O3,4th Max,2,0.083,0.084,0.088,0.08,0.077,0.077,0.083,0.079,0.082,0.074,0.071,0.071,0.072,0.069,0.07,0.071,0.072,0.072,0.073,0.062,0.069,0.071
17340,Clearlake,California,O3,4th Max,1,0.062,0.06,0.072,0.061,0.062,0.061,0.062,0.057,0.068,0.061,0.056,0.055,0.065,0.059,0.061,0.058,0.057,0.058,0.053,0.051,0.059,0.054
20940,El Centro,California,NO2,Annual Mean,2,15,12,12,12,14,13,12,13,12,11,9,11,12,10,10,9,8,9,9,8,9,8
20940,El Centro,California,NO2,98th Percentile,1,88,88,88,61,76,80,73,72,73,72,56,63,66,62,61,60,60,59,64,49,51,45
