Date,Bakersfield,Bishop,El Centro,Fresno,Hanford-Corcoran,Los Angeles-Long Beach-Anaheim,Merced,Modesto,Oxnard-Thousand Oaks-Ventura,Redding,Riverside-San Bernardino-Ontario,Sacramento--Roseville--Arden-Arcade,Salinas,San Diego-Carlsbad,San Francisco-Oakland-Hayward,Santa Cruz-Watsonville,Santa Maria-Santa Barbara,Stockton-Lodi,Ukiah,Vallejo-Fairfield,Visalia-Porterville,Yuba City
2000,16.3,5.5,12.9,17.4,16.4,18.9,16.7,18.7,13.6,9.2,19.9,11.6,7.9,13.1,11.2,7.9,9.9,15.5,7.2,11.6,23.9,10.6
2001,16.0,5.5,11.9,18.3,19.2,19.9,14.5,15.6,13.8,9.2,21.0,11.3,8.7,15.5,11.6,9.1,10.4,13.9,8.0,12.5,22.5,11.9
2002,18.0,8.2,12.2,18.7,21.5,19.3,18.7,18.7,13.0,10.5,19.9,12.7,9.1,13.9,12.9,8.6,9.5,16.7,9.1,14.0,23.2,13.1
2003,13.8,4.9,11.2,17.0,16.2,17.7,15.7,14.5,12.2,7.5,17.9,10.0,7.3,14.4,9.4,7.4,8.6,13.6,7.4,9.4,18.2,9.5
2004,14.1,5.2,10.7,16.7,17.4,16.7,15.2,13.6,11.3,7.2,16.7,10.4,7.0,12.2,10.0,7.2,7.5,13.2,7.0,11.1,17.0,10.0
2005,14.5,4.6,11.3,16.6,17.5,15.0,14.1,13.9,10.4,7.3,15.2,9.8,6.8,11.8,9.1,7.0,7.5,12.5,6.2,9.7,18.8,9.5
2006,14.5,6.1,10.6,17.0,16.9,13.8,14.8,14.8,9.8,8.7,14.3,10.7,7.1,11.2,9.6,6.8,7.5,13.1,6.8,9.8,18.8,11.3
2007,16.7,5.8,10.7,16.6,18.4,14.3,15.2,15.0,10.7,5.6,14.8,9.5,7.0,12.6,8.6,6.4,7.9,12.9,4.7,9.8,20.4,8.2
2008,17.4,7.1,9.1,16.4,15.8,13.2,14.4,16.0,10.2,14.7,12.1,10.2,7.2,12.3,9.6,6.8,7.9,14.4,7.9,9.9,19.8,10.7
2009,15.6,6.8,9.7,16.4,17.7,12.2,13.6,13.0,10.2,5.8,11.5,8.5,5.8,11.4,9.0,5.7,6.9,11.3,11.6,9.7,16.0,7.9
2010,12.1,7.0,9.7,14.0,17.9,10.2,11.2,12.1,8.6,4.6,9.8,6.8,6.6,9.6,8.4,6.5,6.2,10.6,6.5,7.7,13.6,5.9
2011,12.3,8.1,10.5,16.7,17.1,10.9,10.4,14.7,8.5,5.4,10.3,8.7,6.3,9.9,8.5,6.5,7.7,11.3,7.6,9.8,16.1,8.0
2012,11.4,6.6,11.0,14.0,16.3,10.5,9.5,11.9,9.3,5.9,10.4,7.1,5.5,10.3,7.5,5.8,7.6,12.4,4.9,9.0,14.8,6.9
2013,17.1,8.0,10.2,15.9,15.6,10.3,13.5,14.3,8.7,5.9,10.2,8.4,6.6,9.5,9.2,6.7,7.6,17.7,5.2,9.9,18.9,8.2
2014,15.3,7.9,10.2,14.3,15.4,10.0,11.2,11.4,9.3,5.2,9.8,7.5,4.6,9.3,7.2,5.4,7.8,12.1,5.5,9.9,17.9,9.4
2015,13.0,7.0,9.2,14.5,15.1,9.7,12.6,9.1,8.5,7.5,9.4,8.5,4.6,8.4,7.7,4.9,7.7,12.8,8.6,9.6,16.1,9.6
2016,12.7,6.6,11.0,12.8,14.8,9.7,11.2,11.1,8.7,5.2,9.9,7.0,5.3,8.7,7.3,5.3,7.0,11.8,6.4,7.4,14.7,8.1
2017,13.2,8.0,10.1,14.1,16.0,10.3,12.6,12.9,8.8,7.8,10.0,8.4,5.6,9.3,9.8,7.1,7.3,12.1,9.4,11.6,16.3,9.3
2018,14.7,7.0,11.1,15.7,17.1,10.9,14.2,15.2,8.9,15.9,9.8,12.1,6.1,10.0,11.7,8.3,7.0,17.6,11.3,13.3,17.3,10.3
2019,10.5,5.2,9.3,10.7,12.1,9.2,9.6,7.7,6.8,6.7,9.3,7.4,4.2,8.1,7.0,6.5,4.8,9.3,6.0,8.6,12.9,8.4
2020,15.5,10.4,10.9,18.4,19.1,12.1,15.1,14.5,7.6,10.2,11.0,11.6,6.8,10.7,10.5,8.2,7.9,14.0,10.3,12.0,19.6,16.4
2021,14.4,9.7,9.3,14.5,14.8,11.0,11.1,15.0,7.5,11.8,10.6,9.9,4.8,9.5,7.3,4.9,7.9,12.1,9.0,8.4,20.7,14.5
