CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Lat,Lon
12540,Bakersfield, California,NO2,Annual Mean,3,18.0,18.0,17.0,17.0,16.0,15.0,16.0,14.0,13.0,12.0,11.0,11.0,12.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,35.3738712,-119.0194639
12540,Bakersfield, California,NO2,98th Percentile,3,61.0,69.0,64.0,62.0,56.0,55.0,60.0,56.0,53.0,46.0,47.0,44.0,46.0,46.0,44.0,40.0,38.0,41.0,39.0,40.0,35.0,36.0,35.3738712,-119.0194639
12540,Bakersfield, California,O3,4th Max,6,0.098,0.099,0.102,0.099,0.089,0.093,0.098,0.086,0.097,0.087,0.089,0.088,0.085,0.08,0.083,0.084,0.082,0.083,0.091,0.078,0.09,0.083,35.3738712,-119.0194639
12540,Bakersfield, California,PM10,2nd Max,1,133.0,186.0,94.0,110.0,79.0,94.0,147.0,106.0,122.0,90.0,81.0,69.0,88.0,110.0,103.5,97.0,81.0,106.0,116.0,94.0,131.0,131.0,35.3738712,-119.0194639
12540,Bakersfield, California,PM2.5,Weighted Annual Mean,3,16.3,16.0,18.0,13.8,14.1,14.5,14.5,16.7,17.4,15.6,12.1,12.3,11.4,17.1,15.3,13.0,12.7,13.2,14.7,10.5,15.5,14.4,35.3738712,-119.0194639
12540,Bakersfield, California,PM2.5,98th Percentile,3,61.0,66.0,56.0,37.0,41.0,48.0,46.0,55.0,52.0,48.0,40.0,42.0,40.0,67.0,61.0,42.0,39.0,53.0,52.0,35.0,58.0,42.0,35.3738712,-119.0194639
13860,Bishop, California,PM10,2nd Max,5,1750.6,2687.8,1606.4,2127.8,1428.0,1020.2,1342.0,176.2,336.4,272.4,504.2,454.8,366.4,273.1,255.9,221.4,220.6,449.2,176.4,148.8,300.6,160.6,37.363679,-118.39524
13860,Bishop, California,PM2.5,Weighted Annual Mean,1,5.5,5.5,8.2,4.9,5.2,4.6,6.1,5.8,7.1,6.8,7.0,8.1,6.6,8.0,7.9,7.0,6.6,8.0,7.0,5.2,10.4,9.7,37.363679,-118.39524
13860,Bishop, California,PM2.5,98th Percentile,1,23.0,23.0,62.0,15.0,22.0,13.0,22.0,35.0,44.0,36.0,28.0,44.0,28.0,39.0,29.0,24.0,25.0,37.0,25.0,16.0,67.0,58.0,37.363679,-118.39524
17020,Chico,California,O3,4th Max,2,0.083,0.084,0.088,0.08,0.077,0.077,0.083,0.079,0.082,0.074,0.071,0.071,0.072,0.069,0.07,0.071,0.072,0.072,0.073,0.062,0.069,0.071,39.7284945,-121.8374777
17340,Clearlake,California,O3,4th Max,1,0.062,0.06,0.072,0.061,0.062,0.061,0.062,0.057,0.068,0.061,0.056,0.055,0.065,0.059,0.061,0.058,0.057,0.058,0.053,0.051,0.059,0.054,38.9582307,-122.626372
20940,El Centro,California,NO2,Annual Mean,2,15.0,12.0,12.0,12.0,14.0,13.0,12.0,13.0,12.0,11.0,9.0,11.0,12.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,32.792,-115.563051
20940,El Centro,California,NO2,98th Percentile,1,88.0,88.0,88.0,61.0,76.0,80.0,73.0,72.0,73.0,72.0,56.0,63.0,66.0,62.0,61.0,60.0,60.0,59.0,64.0,49.0,51.0,45.0,32.792,-115.563051
20940,El Centro,California,O3,4th Max,3,0.083,0.087,0.084,0.073,0.075,0.08,0.077,0.083,0.079,0.078,0.074,0.076,0.078,0.077,0.075,0.075,0.07,0.073,0.067,0.065,0.064,0.068,32.792,-115.563051
20940,El Centro,California,PM2.5,Weighted Annual Mean,2,12.9,11.9,12.2,11.2,10.7,11.3,10.6,10.7,9.1,9.7,9.7,10.5,11.0,10.2,10.2,9.2,11.0,10.1,11.1,9.3,10.9,9.3,32.792,-115.563051
20940,El Centro,California,PM2.5,98th Percentile,2,37.0,34.0,34.0,33.0,29.0,32.0,37.0,28.0,21.0,23.0,23.0,31.0,25.0,23.0,28.0,24.0,30.0,26.0,29.0,22.0,29.0,24.0,32.792,-115.563051
23420,Fresno,California,CO,2nd Max,1,3.3,2.8,2.5,1.8,1.7,1.8,2.1,1.7,1.4,1.4,1.4,1.4,1.3,1.4,1.1,1.0,1.3,1.2,1.3,1.0,2.2,1.1,36.7394421,-119.7848307
23420,Fresno,California,NO2,Annual Mean,4,16.0,16.0,16.0,16.0,14.0,13.0,14.0,13.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,36.7394421,-119.7848307
23420,Fresno,California,O3,4th Max,5,0.106,0.107,0.111,0.104,0.089,0.094,0.095,0.089,0.102,0.094,0.096,0.094,0.093,0.088,0.09,0.089,0.09,0.09,0.083,0.077,0.086,0.087,36.7394421,-119.7848307
23420,Fresno,California,PM10,2nd Max,2,111.5,120.5,86.5,81.5,66.0,89.0,98.5,83.5,82.0,66.5,61.5,73.0,69.5,85.0,82.0,80.0,75.0,95.0,110.0,97.0,141.5,134.0,36.7394421,-119.7848307
23420,Fresno,California,PM2.5,Weighted Annual Mean,2,17.4,18.3,18.7,17.0,16.7,16.6,17.0,16.6,16.4,16.4,14.0,16.7,14.0,15.9,14.3,14.5,12.8,14.1,15.7,10.7,18.4,14.5,36.7394421,-119.7848307
23420,Fresno,California,PM2.5,98th Percentile,2,69.0,74.0,63.0,53.0,54.0,71.0,63.0,60.0,48.0,51.0,42.0,68.0,50.0,64.0,63.0,44.0,39.0,62.0,61.0,33.0,90.0,49.0,36.7394421,-119.7848307
25260,Hanford-Corcoran,California,O3,4th Max,1,0.105,0.093,0.101,0.092,0.088,0.085,0.086,0.08,0.088,0.095,0.103,0.086,0.082,0.085,0.086,0.085,0.083,0.085,0.08,0.076,0.084,0.076,36.097359,-119.565895
